#,Place_Name,State,City,Address,Lunch-Time - IN,Lunch-Time - Out,Dinner Time - IN,Dinner Time - Out,Capacity,Contact,Lat,Long,Maps Url
49,"Annapurna Canteen - BHOLAKPUR, MUSHEERABAD ",Telangana,Hyderabad,"BHOLAKPUR, MUSHEERABAD  Hyderabad Telangana",11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.41871667,78.49335,"https://www.google.com/maps/search/?api=1&query=17.4187166666667,78.49335"
50,"Annapurna Canteen - SRI KRISHNA NAGAR,YOUSUFGUDA ",Telangana,Hyderabad,"SRI KRISHNA NAGAR,YOUSUFGUDA  Hyderabad Telangana",11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.43145,78.426,"https://www.google.com/maps/search/?api=1&query=17.43145,78.426"
51,"Annapurna Canteen - YOUSUFGUDA,SRI RAM NAGAR ",Telangana,Hyderabad,"YOUSUFGUDA,SRI RAM NAGAR  Hyderabad Telangana",11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.45345,78.42246667,"https://www.google.com/maps/search/?api=1&query=17.45345,78.4224666666667"
52,Annapurna Canteen - MOOSAPET GOODS SHED ,Telangana,Hyderabad,MOOSAPET GOODS SHED  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.46586667,78.42266667,"https://www.google.com/maps/search/?api=1&query=17.4658666666667,78.4226666666667"
53,Annapurna Canteen - PRASHANTH NAGAR ,Telangana,Hyderabad,PRASHANTH NAGAR  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.47503333,78.42653333,"https://www.google.com/maps/search/?api=1&query=17.4750333333333,78.4265333333333"
54,Annapurna Canteen - ALLWYN COLONY ,Telangana,Hyderabad,ALLWYN COLONY  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.50725,78.4079,"https://www.google.com/maps/search/?api=1&query=17.50725,78.4079"
55,Annapurna Canteen - NEAR NGOS COLONY BUSSTOP ,Telangana,Hyderabad,NEAR NGOS COLONY BUSSTOP  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.32511667,78.5668,"https://www.google.com/maps/search/?api=1&query=17.3251166666667,78.5668"
56,Annapurna Canteen - CHINTAL ASIANTHEATRE ,Telangana,Hyderabad,CHINTAL ASIANTHEATRE  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.49208333,78.45158333,"https://www.google.com/maps/search/?api=1&query=17.4920833333333,78.4515833333333"
57,Annapurna Canteen - ALWAL ,Telangana,Hyderabad,ALWAL  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.50861667,78.50375,"https://www.google.com/maps/search/?api=1&query=17.5086166666667,78.50375"
58,Annapurna Canteen - NEREDMET ,Telangana,Hyderabad,NEREDMET  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.48228333,78.53781667,"https://www.google.com/maps/search/?api=1&query=17.4822833333333,78.5378166666667"
59,Annapurna Canteen - MUSHEERABAD ,Telangana,Hyderabad,MUSHEERABAD  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.4091,78.50868333,"https://www.google.com/maps/search/?api=1&query=17.4091,78.5086833333333"
60,Annapurna Canteen - SUNDARAIAH PARK ,Telangana,Hyderabad,SUNDARAIAH PARK  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.39825,78.49856667,"https://www.google.com/maps/search/?api=1&query=17.39825,78.4985666666667"
61,Annapurna Canteen - KANAJIGUDA ,Telangana,Hyderabad,KANAJIGUDA  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.48601667,78.4955,"https://www.google.com/maps/search/?api=1&query=17.4860166666667,78.4955"
62,Annapurna Canteen - CITY CENTRAL LIBRARY ,Telangana,Hyderabad,CITY CENTRAL LIBRARY  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.40426667,78.49183333,"https://www.google.com/maps/search/?api=1&query=17.4042666666667,78.4918333333333"
63,Annapurna Canteen - KHAIRATHABAD ,Telangana,Hyderabad,KHAIRATHABAD  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.41041667,78.46515,"https://www.google.com/maps/search/?api=1&query=17.4104166666667,78.46515"
64,Annapurna Canteen - NIMS HOSPITAL ,Telangana,Hyderabad,NIMS HOSPITAL  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.42276667,78.4544,"https://www.google.com/maps/search/?api=1&query=17.4227666666667,78.4544"
65,Annapurna Canteen - LAKDIKAPOOL DWARAKA HOTEL ,Telangana,Hyderabad,LAKDIKAPOOL DWARAKA HOTEL  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.40493333,78.46435,"https://www.google.com/maps/search/?api=1&query=17.4049333333333,78.46435"
66,Annapurna Canteen - BASAVA TARAKA CANCER HOSPITAL ,Telangana,Hyderabad,BASAVA TARAKA CANCER HOSPITAL  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.41695,78.42943333,"https://www.google.com/maps/search/?api=1&query=17.41695,78.4294333333333"
67,Annapurna Canteen - AMEERPET ,Telangana,Hyderabad,AMEERPET  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.43731667,78.44845,"https://www.google.com/maps/search/?api=1&query=17.4373166666667,78.44845"
68,Annapurna Canteen - ESI HOSPITAL ,Telangana,Hyderabad,ESI HOSPITAL  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.44828333,78.43755,"https://www.google.com/maps/search/?api=1&query=17.4482833333333,78.43755"
69,Annapurna Canteen - SANATH NAGAR BUS STAND ,Telangana,Hyderabad,SANATH NAGAR BUS STAND  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.45536667,78.44813333,"https://www.google.com/maps/search/?api=1&query=17.4553666666667,78.4481333333333"
70,Annapurna Canteen - ERRAGADDA ,Telangana,Hyderabad,ERRAGADDA  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.45151667,78.43605,"https://www.google.com/maps/search/?api=1&query=17.4515166666667,78.43605"
71,Annapurna Canteen - BORABANDA ,Telangana,Hyderabad,BORABANDA  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.4503,78.40716667,"https://www.google.com/maps/search/?api=1&query=17.4503,78.4071666666667"
72,"Annapurna Canteen - NBT NAGAR KAMAN, ROAD NO.12, BANJARA HILLS ",Telangana,Hyderabad,"NBT NAGAR KAMAN, ROAD NO.12, BANJARA HILLS  Hyderabad Telangana",11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.40958333,78.4369,"https://www.google.com/maps/search/?api=1&query=17.4095833333333,78.4369"
73,Annapurna Canteen - MADHAPUR ,Telangana,Hyderabad,MADHAPUR  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.44623333,78.38541667,"https://www.google.com/maps/search/?api=1&query=17.4462333333333,78.3854166666667"
74,Annapurna Canteen - MIYAPUR X ROAD ,Telangana,Hyderabad,MIYAPUR X ROAD  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.49681667,78.36385,"https://www.google.com/maps/search/?api=1&query=17.4968166666667,78.36385"
75,Annapurna Canteen - CHANDA NAGAR ,Telangana,Hyderabad,CHANDA NAGAR  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.49486667,78.32225,"https://www.google.com/maps/search/?api=1&query=17.4948666666667,78.32225"
76,Annapurna Canteen - BHEL ,Telangana,Hyderabad,BHEL  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.4964,78.31518333,"https://www.google.com/maps/search/?api=1&query=17.4964,78.3151833333333"
77,Annapurna Canteen - PATANCHERU ,Telangana,Hyderabad,PATANCHERU  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.5293,78.26398333,"https://www.google.com/maps/search/?api=1&query=17.5293,78.2639833333333"
78,Annapurna Canteen - MOOSAPET ,Telangana,Hyderabad,MOOSAPET  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.46941667,78.42053333,"https://www.google.com/maps/search/?api=1&query=17.4694166666667,78.4205333333333"
79,Annapurna Canteen - KUKATPALLY ,Telangana,Hyderabad,KUKATPALLY  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.49441667,78.4012,"https://www.google.com/maps/search/?api=1&query=17.4944166666667,78.4012"
80,Annapurna Canteen - JAGATGIRIGUTTA ,Telangana,Hyderabad,JAGATGIRIGUTTA  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.50296667,78.42616667,"https://www.google.com/maps/search/?api=1&query=17.5029666666667,78.4261666666667"
81,Annapurna Canteen - SURARAM ,Telangana,Hyderabad,SURARAM  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.54055,78.43396667,"https://www.google.com/maps/search/?api=1&query=17.54055,78.4339666666667"
82,Annapurna Canteen - SHAPUR ,Telangana,Hyderabad,SHAPUR  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.51236667,78.44743333,"https://www.google.com/maps/search/?api=1&query=17.5123666666667,78.4474333333333"
83,"Annapurna Canteen - PARVATH NAGAR,ALLAPUR DIVISION ",Telangana,Hyderabad,"PARVATH NAGAR,ALLAPUR DIVISION  Hyderabad Telangana",11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.45671667,78.398,"https://www.google.com/maps/search/?api=1&query=17.4567166666667,78.398"
84,Annapurna Canteen - KPHB 4TH PHASE UNDER FLY OVER ,Telangana,Hyderabad,KPHB 4TH PHASE UNDER FLY OVER  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.471,78.38685,"https://www.google.com/maps/search/?api=1&query=17.471,78.38685"
85,"Annapurna Canteen - MALLA REDDY HOSPITAL, OPP ",Telangana,Hyderabad,"MALLA REDDY HOSPITAL, OPP  Hyderabad Telangana",11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.54411667,78.4339,"https://www.google.com/maps/search/?api=1&query=17.5441166666667,78.4339"
86,Annapurna Canteen - ANJAYA NAGAR LABOUR ADDA ,Telangana,Hyderabad,ANJAYA NAGAR LABOUR ADDA  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.45008333,78.36371667,"https://www.google.com/maps/search/?api=1&query=17.4500833333333,78.3637166666667"
87,"Annapurna Canteen - HASHMATHPET, AMBEDKAR STATUE ",Telangana,Hyderabad,"HASHMATHPET, AMBEDKAR STATUE  Hyderabad Telangana",11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.47551667,78.48573333,"https://www.google.com/maps/search/?api=1&query=17.4755166666667,78.4857333333333"
88,Annapurna Canteen - TARA NAGAR VEGETABEL MARKET ,Telangana,Hyderabad,TARA NAGAR VEGETABEL MARKET  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.49046667,78.31763333,"https://www.google.com/maps/search/?api=1&query=17.4904666666667,78.3176333333333"
89,Annapurna Canteen - P&T COLONY CHOWRASTA ,Telangana,Hyderabad,P&T COLONY CHOWRASTA  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.36398333,78.5264,"https://www.google.com/maps/search/?api=1&query=17.3639833333333,78.5264"
90,Annapurna Canteen - HAFEEZPET MIYAPUR AUTOSTAND ,Telangana,Hyderabad,HAFEEZPET MIYAPUR AUTOSTAND  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.49675,78.36068333,"https://www.google.com/maps/search/?api=1&query=17.49675,78.3606833333333"
91,Annapurna Canteen - GOLKONDA FORT ,Telangana,Hyderabad,GOLKONDA FORT  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.38498333,78.40301667,"https://www.google.com/maps/search/?api=1&query=17.3849833333333,78.4030166666667"
92,Annapurna Canteen - EAST ANAND BAGH ,Telangana,Hyderabad,EAST ANAND BAGH  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.45763333,78.54396667,"https://www.google.com/maps/search/?api=1&query=17.4576333333333,78.5439666666667"
93,Annapurna Canteen - VINAYAK NAGAR ,Telangana,Hyderabad,VINAYAK NAGAR  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.46853333,78.5446,"https://www.google.com/maps/search/?api=1&query=17.4685333333333,78.5446"
94,Annapurna Canteen - TOLECHOWKI X-ROADS ,Telangana,Hyderabad,TOLECHOWKI X-ROADS  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.39826667,78.41708333,"https://www.google.com/maps/search/?api=1&query=17.3982666666667,78.4170833333333"
95,Annapurna Canteen - OLD MALAKPET ,Telangana,Hyderabad,OLD MALAKPET  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.37863333,78.50053333,"https://www.google.com/maps/search/?api=1&query=17.3786333333333,78.5005333333333"
96,Annapurna Canteen - MOOSURAMBAGH X-ROAD ,Telangana,Hyderabad,MOOSURAMBAGH X-ROAD  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.36905,78.52106667,"https://www.google.com/maps/search/?api=1&query=17.36905,78.5210666666667"
97,Annapurna Canteen - T.S. ASSEMBLY ,Telangana,Hyderabad,T.S. ASSEMBLY  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.39925,78.47055,"https://www.google.com/maps/search/?api=1&query=17.39925,78.47055"
